OBJECTID,County,FIPS,NCGS_url,ck_date,Shape__Area,Shape__Length,Worried,NotWorried,CarbonTax,NoCarbonTax,OffshoreDrilling,NoOffshoreDrilling
14,Alamance,1,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2018/08/29 00:00:00+00,12107186416,476690.8577,62.109,37.828,64.548,33.616,55.772,43.991
76,Alexander,3,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,7343463877,387342.3128,51.936,47.944,54.348,44.332,63.154,36.524
100,Alleghany,5, ,2011/11/29 00:00:00+00,6576362291,439166.7172,54.038,45.875,56.178,42.551,60.712,39.033
23,Anson,7, ,2011/11/29 00:00:00+00,14970199233,575503.7549,63.167,36.788,67.789,30.063,54.323,44.681
99,Ashe,9, ,2011/11/29 00:00:00+00,11939188224,520045.3984,57.201,42.754,57.634,41.213,55.59,44.372
80,Avery,11, ,2011/11/29 00:00:00+00,6899847744,431669.9805,54.929,44.976,55.968,42.986,58.192,41.614
17,Beaufort,13, ,2011/11/29 00:00:00+00,26859605714,889915.3511,56.569,43.371,60.422,37.808,60.217,39.272
77,Bertie,15, ,2011/11/29 00:00:00+00,20665029504,829678.566,67.251,32.683,72.11,25.701,50.543,48.362
30,Bladen,17, ,2011/11/29 00:00:00+00,24741523503,872252.8955,58.361,41.561,63.416,34.651,59.885,39.351
28,Brunswick,19, ,2011/11/29 00:00:00+00,24914885077,880044.3448,60.598,39.358,61.569,36.937,52.775,47.425
61,Buncombe,21, ,2011/11/29 00:00:00+00,18391145430,790738.319,68.43,30.457,68.587,29.632,46.404,53.108
67,Burke,23, ,2020/08/19 00:00:00+00,14337555011,642336.5817,53.408,46.594,58.119,40.284,59.221,40.37
6,Cabarrus,25,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2014/06/25 00:00:00+00,10143637614,438825.3889,59.677,40.389,64.997,33.414,57.652,42.135
75,Caldwell,27, ,2011/11/29 00:00:00+00,13229092208,542400.3041,54.663,45.218,56.626,41.889,58.183,41.592
1,Camden,29,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,8650425941,680450.7318,51.984,47.941,55.85,42.799,63.155,36.494
33,Carteret,31,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,28966566494,1003010.366,57.528,42.37,56.512,42.193,56.228,43.778
94,Caswell,33,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,11951718877,437282.0928,58.404,41.524,62.449,35.713,57.661,41.608
66,Catawba,35,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2011/11/29 00:00:00+00,11600644460,492603.0518,55.902,44.184,56.969,41.215,57.258,42.357
13,Chatham,37,https://ncem-gis.maps.arcgis.com/apps/OnePane/basicviewer/index.html?appid=523dc3d6b7424a20afbae7b7c1b99d33,2020/08/19 00:00:00+00,19753873886,733483.3147,67.526,32.465,66.575,31.634,47.013,52.826
50,Cherokee,39, ,2011/11/29 00:00:00+00,13006698079,614863.0196,54.565,45.323,55.062,43.8,59.829,40.005
82,Chowan,41, ,2011/11/29 00:00:00+00,6513382303,438858.6511,60.147,39.776,63.648,34.694,57.443,42.031
51,Clay,43, ,2011/11/29 00:00:00+00,6153362609,449623.0713,53.008,46.922,55.547,43.353,61.6,38.304
